mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__epsilon,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.008240556716918946,0.0005197193983892292,0.004281330108642578,0.0003013938044035502,1.0,0.1,scale,linear,"{'model__C': 1, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'linear'}",-0.03958951571409692,-0.0742471670963866,-0.186452282014263,-0.1718065848437661,-0.1135574182638061,-0.11713059358646374,0.05596308625062459,9
0.00861186981201172,0.0009350842495598575,0.004154396057128906,0.0006377463630613796,1.0,0.1,auto,rbf,"{'model__C': 1, 'model__epsilon': 0.1, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.03958951571409692,-0.0742471670963866,-0.186452282014263,-0.18485274013781913,-0.1781522624959864,-0.13265879349171042,0.0628671802455929,25
0.007850980758666993,0.0010349768983727368,0.004643106460571289,0.0024383834038122685,1.0,0.1,auto,linear,"{'model__C': 1, 'model__epsilon': 0.1, 'model__gamma': 'auto', 'model__kernel': 'linear'}",-0.03958951571409692,-0.0742471670963866,-0.186452282014263,-0.1718065848437661,-0.1135574182638061,-0.11713059358646374,0.05596308625062459,9
0.009475231170654297,0.000657459833249483,0.004598665237426758,0.0004209718820445809,10.0,0.01,scale,rbf,"{'model__C': 10, 'model__epsilon': 0.01, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.03548206862431589,-0.06515714334348956,-0.18389348849187837,-0.1738350597796268,-0.19757484761755692,-0.1311885215713735,0.06711714101707687,17
0.014370393753051759,0.004458081962338228,0.004617452621459961,0.0006078025744101481,10.0,0.01,scale,linear,"{'model__C': 10, 'model__epsilon': 0.01, 'model__gamma': 'scale', 'model__kernel': 'linear'}",-0.0380647108511383,-0.08594476938621728,-0.12249814032974321,-0.12864052769503273,-0.6135621855340475,-0.1977420667592358,0.21039892396739077,41
0.011529064178466797,0.0036832987820365898,0.0048655509948730465,0.0008232932424875395,10.0,0.01,auto,rbf,"{'model__C': 10, 'model__epsilon': 0.01, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.03548206862431589,-0.06515714334348956,-0.18389348849187837,-0.1738350597796268,-0.19757484761755692,-0.1311885215713735,0.06711714101707687,17
0.011746072769165039,0.002724445921049132,0.01068878173828125,0.011230578221373563,10.0,0.01,auto,linear,"{'model__C': 10, 'model__epsilon': 0.01, 'model__gamma': 'auto', 'model__kernel': 'linear'}",-0.0380647108511383,-0.08594476938621728,-0.12249814032974321,-0.12864052769503273,-0.6135621855340475,-0.1977420667592358,0.21039892396739077,41
0.009156227111816406,0.000492840003863905,0.004465866088867188,0.0001960422134264281,10.0,0.05,scale,rbf,"{'model__C': 10, 'model__epsilon': 0.05, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.03958951571409692,-0.07352849187669433,-0.1850247545820334,-0.1802272688231698,-0.1876854786035332,-0.13321110191990554,0.06354470491362543,31
0.010144472122192383,0.0025448922965920855,0.005200624465942383,0.0017029287840929792,10.0,0.05,scale,linear,"{'model__C': 10, 'model__epsilon': 0.05, 'model__gamma': 'scale', 'model__kernel': 'linear'}",-0.03958951571409692,-0.07362546007863961,-0.17201024837599135,-0.1556515519685181,-0.09637502749232317,-0.10745036072591382,0.0497256777255929,1
0.009626388549804688,0.001547544175961972,0.0046936988830566405,0.000581304245263268,10.0,0.05,auto,rbf,"{'model__C': 10, 'model__epsilon': 0.05, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.03958951571409692,-0.07352849187669433,-0.1850247545820334,-0.1802272688231698,-0.1876854786035332,-0.13321110191990554,0.06354470491362543,31
0.009577226638793946,0.0008636510677481374,0.005353212356567383,0.00129556787509732,10.0,0.05,auto,linear,"{'model__C': 10, 'model__epsilon': 0.05, 'model__gamma': 'auto', 'model__kernel': 'linear'}",-0.03958951571409692,-0.07362546007863961,-0.17201024837599135,-0.1556515519685181,-0.09637502749232317,-0.10745036072591382,0.0497256777255929,1
0.016141891479492188,0.013116735470049379,0.005251121520996094,0.0011593194880284026,10.0,0.1,scale,rbf,"{'model__C': 10, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",-0.03958951571409692,-0.0742471670963866,-0.186452282014263,-0.18485274013781913,-0.1781522624959864,-0.13265879349171042,0.0628671802455929,25
0.011600303649902343,0.0017373626176734162,0.006392860412597656,0.002696011589198994,10.0,0.1,scale,linear,"{'model__C': 10, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'linear'}",-0.03958951571409692,-0.0742471670963866,-0.186452282014263,-0.1718065848437661,-0.1135574182638061,-0.11713059358646374,0.05596308625062459,9
0.009057188034057617,0.0003679036035748314,0.004658317565917969,0.0003226513830189962,10.0,0.1,auto,rbf,"{'model__C': 10, 'model__epsilon': 0.1, 'model__gamma': 'auto', 'model__kernel': 'rbf'}",-0.03958951571409692,-0.0742471670963866,-0.186452282014263,-0.18485274013781913,-0.1781522624959864,-0.13265879349171042,0.0628671802455929,25
